TextID;DocumentText
2001;"Joe Biden faces the most intense test yet of his pledge to be a calming, unifying leader for a divided nation when he travels Thursday to Kenosha, Wisconsin, a city now at the center of America’s election-year reckoning with systemic racism.

The 77-year-old former vice president, traveling two days after President Donald Trump visited the same city, plans to meet with family of Jacob Blake, who remains hospitalized after being shot seven times in the back by a white police officer as authorities tried to arrest him. Biden also plans a community discussion with business figures, civic leaders and law enforcement officials.

“This is about making sure that we move forward,” Biden told reporters Wednesday. He added that he’s “not going to tell Kenosha what they have to do” but instead encourage a community to “talk about what has to be done.”

Two months before Election Day, the trip presents Biden both opportunity and risks, testing his longstanding promise that he can “unify the country” and find consensus even where it’s not readily apparent. The approach is an intentional contrast with Trump, who thrives on conflict. But the distinction has sharpened over a summer of nationwide protests — most peaceful, but some of them, as in Kenosha, turned violent and destructive.

Biden is a white man propelled to the Democratic nomination by Black voters. Since the May 25 death of George Floyd, a Black man killed by a white Minneapolis police officer, Biden has called for an overhaul of U.S. policing and embraced a national conversation on racism. The significance of the moment was a factor in Biden selecting California Sen. Kamala Harris as the first Black woman to join a major party presidential ticket.

Trump, meanwhile, has countered with sweeping condemnations of protesters, an absolute defense of law enforcement and denials that Americans with black and brown skin face barriers that whites do not — moves aimed at his overwhelmingly white political base.

The president pressed his “law and order” mantra during his own Kenosha trip Tuesday. He toured damaged buildings and discussed ways to quell unrest with law enforcement officials. Trump was greeted by supporters who occasionally mixed with — and yelled at — Black Lives Matter organizers.

“These are not acts of peaceful protest but, really, domestic terror,” Trump said.

Despite repeated questions from reporters, the president refused to address racism in the country or its police departments. Instead, he asserted anew that a Biden presidency would bring riots and destruction to American cities. Trump falsely claims that Biden backs violent protests and activists’ calls to “defund the police.”

In fact, Biden has repeatedly denounced violence, from a June 2 speech after Floyd’s death up to a Monday address that his campaign quickly turned into a one-minute digital and television ad. The campaign has spent $45 million for the spot, which has English and Spanish language versions, to circulate on national cable networks and in local markets across Arizona, Florida, Michigan, Minnesota, Nevada, North Carolina, Ohio, Pennsylvania and Wisconsin.

Yet the ad’s necessity highlights Biden’s tightrope as he openly discusses the complexities of the moment while running against a president whose brief political career — and his business career before that — has been defined by loud absolutes.

Biden on Wednesday repeated that “to engage in violence — burning, looting, the rest — in the name of protesting is wrong. And that person should be held accountable for their actions.” But he stood by First Amendment guarantees that “protest is a right.”

He also praised law enforcement, saying “the vast majority of police officers are good, decent honorable women and men. They put on that shield every morning. They have a right to go home that night safely — the vast majority.”

But then he uttered words Trump doesn’t say: “Bad cops.”

Good officers, Biden said, “want to get rid of the bad cops more than anybody else does, because it reflects on them.”

He stands by his proposals to overhaul policing — not to “defund the police”— but to require local forces to agree to certain best practices to get federal funding and to invest more in services, such as mental health counseling, intended to ease social problems that fall to police to handle, sometimes with violent consequences.

Biden noted that he’s “gotten overwhelming support from law enforcement my whole career,” alluding to endorsements from police unions as a U.S. senator and as vice president. But it was Trump who featured police union leaders and the relatives of fallen officers at his presidential nominating convention. And it was Biden on Wednesday calling for a “full investigation” into police shootings and saying the officers who shot Blake should be charged with a crime.

To a large degree, Biden has asked for the difficulty of campaigning on nuance, if not defined his candidacy that way.

He’s the center-left establishment figure who is too conservative on universal health, college tuition assistance, climate action and taxation for his party’s ascendant — and loud — left flank. But he’s moved far enough to the left that many Republicans still hammer him as a radical. He’s the old police union ally now embracing the Black Lives Matter movement, the septuagenarian white man leading a racially diverse party that gets most of its votes from women.

Biden previewed Wednesday how he believes he can make that work in Kenosha and, if he defeats Trump, in the White House.

“I spent my whole life ... bringing people together, bringing the community and police officers together, bringing business leader and civic leaders together,” he said, casting the national moment in terms of its possibilities.

“There’s been so many fissures exposed as a consequence of what’s happened that people are now realizing, ‘My Lord, I didn’t know people in that circumstance didn’t have that kind of help. I didn’t know,’” he said. “What an enormous opportunity to bring the country together.”"
2002;"With just two months left until the U.S. presidential election, Facebook says it is taking more steps to encourage voting, minimize misinformation and reduce the likelihood of post-election “civil unrest.”

The company said Thursday it will restrict new political ads in the week before the election and remove posts that convey misinformation about COVID-19 and voting. It will also attach links to official results to posts from candidates and campaigns that declare premature victories.

“This election is not going to be business as usual. We all have a responsibility to protect our democracy,” Facebook CEO Mark Zuckerberg said in a post on Thursday. “That means helping people register and vote, clearing up confusion about how this election will work, and taking steps to reduce the chances of violence and unrest.”

Facebook and other social media companies are being scrutinized over how they handle misinformation, given issues with President Donald Trump and other candidates posting false information and Russia’s ongoing attempts to interfere in U.S. politics.

Facebook has long been criticized for not fact-checking political ads or limiting how they can be targeted at small groups of people.

With the nation divided, and election results potentially taking days or weeks to be finalized, there could be an “increased risk of civil unrest across the country,” Zuckerberg said.

In July, Trump refused to publicly commit to accepting the results of the upcoming election, as he scoffed at polls that showed him lagging behind Democratic rival Joe Biden. Trump also has made false claims that the increased use of mail-in voting because of the coronavirus pandemic allows for voter fraud. That has raised concern over the willingness of Trump and his supporters to abide by election results.

Under the new measures, Facebook says it will prohibit politicians and campaigns from running new election ads in the week before the election. However, they can still run existing ads and change how they are targeted.

Posts with obvious misinformation on voting policies and the coronavirus pandemic will also be removed. Users can only forward articles to a maximum of five others on Messenger, Facebook’s messaging app. The company also will work with Reuters to provide official election results and make the information available both on its platform and with push notifications.

After being caught off-guard by Russia’s efforts to interfere in the 2016 U.S. presidential election, Facebook, Google, Twitter and others companies put safeguards in place to prevent it from happening again. That includes taking down posts, groups and accounts that engage in “coordinated inauthentic behavior” and strengthening verification procedures for political ads. Last year, Twitter banned political ads altogether.

Zuckerberg said Facebook had removed more than 100 networks worldwide engaging in such interference over the last few years.

“Just this week, we took down a network of 13 accounts and two pages that were trying to mislead Americans and amplify division,” he said.

But experts and Facebook’s own employees say the measures are not enough to stop the spread of misinformation –- including from politicians and in the form of edited videos.

Facebook had previously drawn criticism for its ads policy, which cited freedom of expression as the reason for letting politicians like Trump post false information about voting."
2003;"The beam of a police officer’s flashlight swept across a group of 15 people standing on the sidewalk in downtown Portland, Oregon, recording and taking photos of the nightly protests that have roiled the city for three months.

Most in the recent group wore helmets, reflective vests or shirts emblazoned with the word “PRESS” and had media badges dangling from their necks. But some were demonstrators, taking cover behind reporters despite orders to go home or face arrest.

“Hey,” an officer yelled at his colleagues as they cleared streets and arrested people who weren’t leaving. “Half this group is not press. ... Purple mask isn’t press. Bicyclist not press. ... If they are not press, take them into custody.”

For nearly 100 days, reporters have been covering protests that often turn violent in Oregon’s largest city, and in the chaos, some journalists have been injured or arrested despite press freedoms laid out in the First Amendment. The clash also led to a lawsuit against federal authorities sent in to help local police in July.

Reporters — whether they’re from major media outlets, freelancers or self-proclaimed “citizen journalists” — say they are doing their job and law enforcement is hindering that work. Police say protesters have masqueraded as journalists and then set fires or thrown fireworks, making it a struggle to figure out who is a real reporter during the pandemonium.

Suzette Smith, a freelance journalist who has covered the protests, recorded the Aug. 29 encounter between police and reporters. “Blue mask,” an officer could be heard saying in the video Smith tweeted. Her mask was blue, and she held up her press badge. At least five people around her were detained, including someone else in a blue mask.

Smith, who was arts editor of the Portland Mercury alternative newspaper but was laid off during COVID-19 pandemic, said it was the first time she has seen officers approach a crowd of journalists and arrest people around her. But protesters will stay behind reporters to try to blend in, she said.

“Certainly that’s annoying as a press person when there is somebody behind you yelling,” Smith said. “I have definitely asked them not to yell in my ear or to stand so close.”

Sergio Olmos, a reporter for Oregon Public Broadcasting, has been covering the Portland protests for months and has reported from other demonstrations in the city and civil unrest around the world. He said reporters have been treated differently during protests over the police killing of George Floyd in Minneapolis.

Olmos said police went from viewing reporters as professionals and neutral observers to demonstrators. While covering Portland’s protests, he says he has been pushed to the ground by police, hit in the lip with a baton and tear gassed.

“(Journalists) who stay out there have made a mental commitment of ‘I might get beat or I might get arrested, and that’s just the cost of doing this job I guess,’ ” Olmos said.

According to the U.S. Press Freedom Tracker, made up of more than two dozen press freedom groups, over 740 aggressions against journalists have been reported during national Black Lives Matter protests this year. That can include attacks, arrests or equipment getting damaged, searched or seized.

“What really has been striking about these weeks of protests is that there has not just been one incident that stands out,” said Kelly Simon, interim legal director of the American Civil Liberties Union of Oregon. “It is such a high volume of concerning abuses of our constitutional rights, that there is no way we can sit on the sidelines.”

In July, the ACLU of Oregon sued Portland police and federal agents on behalf of a group of legal observers and journalists. A freelance photographer covering the protests for The Associated Press submitted an affidavit saying he was beaten with batons, sprayed with chemical irritants and hit with rubber bullets.

A federal judge granted a preliminary injunction exempting journalists and legal observers from orders to disperse after authorities declare a riot. But an appeals court later suspended it.

Police report that people with “press markings” have thrown commercial-grade fireworks, rocks and bottles at officers over the past two months and mingled with people in the crowd. In mid-August, police said an officer was seriously injured after a person with “press” on their clothing threw a 9-pound rock.

Police declined requests for an interview. In a June video, Lt. Tina Jones said Portland police “continue to work with our media partners about the importance of following the lawful orders given by the sound truck, officers and social media so they can stay safe and avoid arrest and altercation.”

While many reporters clearly identify themselves, officials have discussed if more can be done.

U.S. District Judge Michael Simon suggested redefining a journalist as “someone who is authorized by the ACLU,” saying the organization “could maintain a list of who they are giving vests to and give them appropriate guidance and instructions. That way we might be able to solve the problem of somebody just putting ‘press’ on their helmet or their shirt.”

Media experts say it’s broader than that.

“Who is a journalist and who isn’t a journalist? Well, here is my definition: You are a journalist if you are committing journalism — if you are there at the scene of the news to collect information and present it to an audience in journalistic form,” said Patricia Gallagher Newberry, national president of the Society of Professional Journalists."
2004;"When the bowling alley reopened, Zohal Bayat was eager to get back to the lanes. For four long months amid Afghanistan’s coronavirus, it and other recreational facilities had been closed. So that meant Bayat, a member of the country’s national women’s bowling team, had been unable to practice,

On top of that, Bayat was at one point struck with COVID-19, the illness caused by the virus. She spent more than 20 days in isolation, with fever, shortness of breath and coughing. Her father was infected as well, but now both are well.

“I am so excited,” the 25-year-old Bayat said, as she practiced at the Friend’s Café, her favorite alley.

Still, she only comes on weekdays. Weekends are too crowded, as young people pack the place, which also features pool tables, music and the café itself. “I will continue to exercise,” said Bayat, who also plays basketball. “But I am afraid of the second wave of the virus.”

Desperate for relief from endless war combined with the pandemic, Afghans are rushing back to public recreation as the government eases the lockdown it imposed to fight the coronavirus. Since mid-July, Afghans can once again frequent parks, swimming pools and gyms, shop in malls and celebrate marriages in wedding halls. Universities and private schools have reopened, and at government schools, the 11th and 12th grades have restarted.

Few wear masks or take other precaution — and authorities are left trying to remind the public of the danger of a second wave of the pandemic.

So far, the official figures have not shown new cases spiking since the easing of the lockdown, with a steady average of around 50 to 70 a day the past month. According to Health Ministry figures, Afghanistan has recorded over 38,200 cases of the virus so far, including 1,409 deaths.

But the real numbers are likely far higher, and the depth of the tragedy is far greater than people understand, said Mohammad Yaqoub Haidari, the provincial governor for the capital Kabul and head of the committee to fight COVID-19.

He told The Associated Press that in Kabul alone, close to 8,000 people have died due to the virus. At the peak, his teams were dealing with 200 to 700 deaths per day, especially during the months of May and June, and dozens of new graveyards have been made to take in the increased dead, he said.

There is no doubt the virus is still circulating. Haidari estimated that 53% of the capital’s population of more than 4 million people have been infected.

Afghanistan’s fractured health care system makes the virus even more difficult to control. More than 2,700 medical workers, including 40 at the Afghan-Japan hospital, one of two hospitals in Kabul that handle virus patients, have contracted the virus, according to the Health Ministry. The ministry said 72 health care workers have died across the country.

Still, after months of lockdown, Kabul’s residents have been relieved to finally get out. Thousands have been going to the capital’s City Park, where the amusement park has reopened as well. The park restaurant is built out of an old passenger jet, and children rush excitedly to sit in the plane seats inside.

Obaidullah Rasouly came on a recent weekend with his two kids, his first outing to the park in months. He was happy to be there — but also worried. He wore a mask while few others in the crowded park did.

“Unfortunately, our country did not implement the lockdown effectively, and now that it has been lifted, people are failing to take the appropriate precautions.” The 30-year-old said as his children played on the slides.

It’s good to finally give people freedom of movement, he said. “but they should use protective kits, or at least wear masks.”

At the amusement park, with its Ferris wheel and bumper cars, workers clean the machines three to five times a day, its director Habibullah Esmati said. Attendance is down from before the pandemic, both because of coronavirus worries and the security situation, he said.

He sees the reopening as a way to ease people’s stress from the outbreak. “If we can provide a place for entertainment, that is a help to people,” he said.

But what many Afghans have looked forward the most to reopening are wedding halls. Marriages were virtually put on hold during the lockdown because wedding parties — whether at halls or at home — were banned.

That pent-up demand means reopened wedding halls are now fully booked every night. That means gatherings that can pack with thousands of people into a hall, presenting a significant risk of transmission of the virus.

Mohammad Nader Qarghayi, director of the Kabul Wedding Halls Association, insisted that halls will reclose voluntarily if there are signs of a new spike in cases. “This is our country; we live here, and we service the people. The lives of our people are so much more important than our business,” he said.

Still, at the other Cafés and blowing centers, university students who had come to bowl had mixed feelings. Several said they were happy to have the chance to relax once more.

But if a second wave strikes, said 20-year-old Ahmad Sohail, “reopening of recreational places, given the circumstances, could be very dangerous.”"
2005;"Can I get the coronavirus twice?

It seems possible, though how often it happens isn’t known.

Researchers in Hong Kong recently reported evidence of a person who got the coronavirus a second time, months after an initial infection.

The finding has not yet been published in a journal. But scientists said the 33-year-old man had mild symptoms the first time and none the second time, suggesting his immune system may have provided some protection against serious illness even if it could not prevent a reinfection. His more recent infection was detected through screening and testing at the Hong Kong airport, and researchers said genetic tests revealed different strains of the virus.

Several other possible cases have been reported, including a U.S. man who was sicker the second time than the first.

Even if people can get reinfected, the World Health Organization says it likely wouldn’t happen regularly.

Health experts generally believe people who had COVID-19 will have some immunity against a repeat infection. But they don’t know how much protection, or how long it would last.

This is important because if immunity wears off, it could pose a challenge for vaccines. Some experts say booster shots may be needed.

It’s also unclear whether reinfected people would be able to spread the virus to others. That’s another reason scientists say people should continue to wear masks, social distance and practice good hygiene."
2006;"Health officials in Thailand say a prison inmate has tested positive for the coronavirus in the country’s first confirmed locally transmitted case in 100 days.

They said on Thursday the inmate is a 37-year-old man who was arrested for drug abuse who was arrested in Aug. 26 and tested positive on Wednesday when brought to the health center of a prison in Bangkok.

A day earlier, the prime minister had congratulated the nation for having achieved 100 days without any confirmed local cases of the coronavirus. Thailand has sustained relatively light health damage from the pandemic, even though in January it was the first country outside China to confirm a case. But its economy has been devastated by the absence of foreign tourists, who are banned from entry, and by a drop in exports.

The country’s last locally transmitted case was confirmed on May 24 and announced on May 25.

New Zealand and Vietnam are two other major countries that have had similar long streaks of no reported cases of local transmission. New Zealand went 102 days before discovering new cases last month, and Vietnam went about 99 days before a new local outbreak. New Zealand reinstituted restrictions after its new outbreak, including a lockdown of the city of Auckland. Taiwan also has gone over 100 days without local transmission.

Thailand has gradually eased most of the virus-fighting restrictions it imposed starting in March, with the significant exception of continuing to bar most foreign visitors."
2007;"The European Union warned Hungary that it cannot close its borders to all foreigners and allow only its own citizens back in as the Hungarian government introduced those new measures Tuesday in response to what it said was a second wave of coronavirus infections in Europe.

Hungarians returning from abroad will now need to quarantine for two weeks unless they twice test negative for coronavirus. Gergely Gulyas, Prime Minister Viktor Orban’s chief of staff, said foreigners now cannot enter the country, except in “justified cases.” He did not elaborate on what those cases are.

Hungary, an EU nation of 9.7 million people, has reported only 616 confirmed virus-related deaths and, unlike France or Spain, is not seen as a current virus hot spot in Europe. It registered 132 new cases on Friday, the second-highest figure since the start of the pandemic.

The move by the government in Budapest adds to growing concerns that European countries struggling to cope with the virus are imposing uncoordinated border restrictions within Europe, putting in jeopardy a key foundation stone that the world’s biggest trading bloc is built on: the free movement of goods and people.

European Commission spokesman Christian Wigand told reporters that “there can be no discrimination between EU citizens when it comes to travel restrictions. There are clear rules on free movement in the European Union and every member state needs to follow them.”

Wigand said the EU commissioners responsible for justice and interior affairs had written to Orban’s government to warn of the problems. The EU’s executive arm proposes the 27-nation bloc’s laws and supervises the way they are applied.

“Any measures that do not comply with those fundamental principles of EU law should of course be immediately retracted,” Justice Commissioner Didier Reynders said in a tweet. He added that the commission is seeking “further information” about Hungary’s move from government ministries.

The commission again urged EU member countries to coordinate with their neighbors on any border restrictions, as the patchwork of controls across Europe becomes increasingly difficult for many of its 460 million citizens to understand.

“It is very clear, common European challenges require European coordination,” Wigand said.

As many European nations experience a resurgence of coronavirus infections after summer holidays, the new travel restrictions are beginning to recall the panic border closures after Europe’s first outbreak emerged in Italy in February that blocked traffic and medical equipment.

Beyond the economic impact of uncoordinated measures, experts fear that countries are becoming so used to lowering the gates at their borders as they see fit that the future of Europe’s borderless travel zone known as the Schengen area is in real peril."
2008;"If you’ve ever seen one of those self-driving vehicles with strange equipment on the roof and wondered where it’s going, then there’s a website for you.

The U.S. National Highway Traffic Safety Administration on Wednesday launched its autonomous vehicle online tracking tool, a map that shows some of the places where the vehicles are being tested on public roads.

The map is a pilot program that now shows testing in 17 cities across the nation, and the safety agency says it will grow as companies submit more information.

“The more information the public has about the on-road testing of automated driving systems, the more they will understand the development of this promising technology,” Deputy NHTSA Administrator James Owens said in a statement.

But critics say the map relies solely on information that’s voluntarily submitted by companies and has no requirements to show safety data.

Cities with data available on the map include Austin and Dallas, Texas; Columbus, Ohio; Detroit and Milford, Michigan; Denver and Golden, Colorado; Jacksonville and Orlando, Florida; Phoenix; Pittsburgh; Salt Lake City, Park City, Lehi and St. George, Utah; San Francisco and Washington, D.C.

So far 10 companies in nine states have signed up to be in the map pilot project. But at present, that’s only a fraction of the companies that are testing. In California alone, more than 60 companies have applied to test autonomous vehicles on public roads.

The agency said companies have flexibility in the type of information they disclose, prompting critics to say the companies could leave out critical data such as the number of crashes or how often human backup drivers are forced to take control of the vehicles.

“In the best case scenario this will be a map identifying only those manufacturers who choose to participate. In the worst case it will be a collage of unreliable data masquerading as proof of safety with a veneer of respectability provided by NHTSA’s implicit endorsement,” said Jason Levine, executive director of the nonprofit Center for Auto Safety.

The government, he said, should collect standardized, comparable data from all automated vehicle companies so the public can compare one company’s safety record with another. “Even this minimal level of neutrality and oversight has proven too much for NHTSA,” he said in a statement.

NHTSA said that given how fast autonomous vehicle technology is changing, the voluntary partnership with the industry lets the agency get information to the public quickly.

“By tapping into the power of the competitive marketplace, nonregulatory tools have proven to be effective in advancing vehicle safety,” the agency said.

They type of information on the site is likely to be expanded, the agency said."
2009;"WELLINGTON, New Zealand (AP) — New Zealand’s justice minister says the nation is confronting cyberattacks on an unprecedented scale, targeting everything from the stock market to the weather service.

Andrew Little said in an interview with The Associated Press on Wednesday that tracking down the perpetrators of the attacks in recent weeks would be extremely difficult, as the distributed denial of service attacks are being routed through thousands of computers.

One line of investigation is the emails sent to people in some of the targeted organizations demanding a ransom in exchange for stopping the attacks, Little said. The official advice is to never, ever pay a ransom.

Little said he’s been told that the sheer volume of data used by the attackers is unprecedented. New Zealand’s foreign spy agency, the Government Communications Security Bureau, is helping with the investigation and working to protect companies targeted in what it says appears to be part of a global campaign.

The attacks stopped share trading for up to several hours at a time over four days last week. Private company NZX, which hosts the market, said it halted trading to maintain market integrity because the attacks prevented it from publishing market announcements.

Little said the attackers had found vulnerabilities in the stock market’s operations.

“That motivated them to continue the attack, and they picked on other organizations as well,” he said.

One of those was the bank TSB, which was hit Tuesday. Chief Executive Donna Cooper said the attack disrupted some of its services but it had a plan in place and the bank remained sound.

Another bank, Westpac, said it successfully repelled an attack two weeks ago and hadn’t been hit again since. News organizations Stuff and RNZ reported they had repelled attacks over the weekend.

The weather organization MetService was also hit this week, switching its website to a stripped down version in order to stay online.

NZX said that, despite more attacks on its website, so far this week it has been able to trade uninterrupted.

“NZX has been advised by independent cyber specialists that the attacks last week are among the largest, most well-resourced and sophisticated they have ever seen in New Zealand,” chief executive Mark Peterson said in a statement.

Little said the attacks were a wake-up call to all organizations with customer-facing websites. Only a few organizations seem to have been targeted at any one time and most have been able to repel the attacks, giving him confidence the country can move past them."
2010;"Safety features such as automatic emergency braking and forward collision warnings could prevent more than 40% of crashes in which semis rear-end other vehicles, a new study has found.

The Insurance Institute for Highway Safety, a research group supported by auto insurers, also found that when the rear crashes happened, the systems cut the speeds by over 50%, reducing damage and injuries.

The institute called on the federal government to require the systems on new large trucks and said many truck fleet operators are already adding emergency braking on their own.

“Rear-end crashes with trucks and other vehicles happen a lot, often with horrible consequences,” said Eric Teoh, the institute’s director of statistical services who did the study. “This is an important countermeasure to that.”

Trucks with collision warning systems reduced rear crashes by 44%, while automatic emergency braking cut rear crashes by 41%, the study found.

To reach his conclusions, Teoh examined crash data per vehicle mile traveled at 62 trucking companies that use tractor-trailers or other trucks weighing at least 33,000 pounds (15,000 kilograms). The study found about 2,000 crashes that happened over more than 2 billion miles (3.2 billion kilometers) traveled from 2017 through 2019.

The study compared trucks from the same companies that were equipped with collision warning alone, automatic emergency braking, and no crash prevention features at all, the IIHS said.

The IIHS also found that trucks equipped with a collision warning system had 22% fewer crashes than those without either technology. For automatic emergency braking, the figure was 12%.

“This is important information for trucking companies and drivers who are weighing the costs and benefits of these options on their next vehicles,” Teoh said.

The institute says U.S. crashes involving large trucks rose by nearly one-third since hitting a record low in 2009. A total of 4,136 people died in such crashes in 2018, with 119 of the deaths in rear-end crashes.

Messages were left seeking comment from the two federal agencies that regulate heavy trucks, the Federal Motor Carrier Safety Administration and the National Highway Traffic Safety Administration.

The Owner Operator Independent Drivers Association, which represents independent truckers, said it can’t accept the study’s conclusions because it did not include real-world factors such as driver training and experience or a carrier’s safety record.

AAA and other groups that have studied automatic emergency braking and other driver assist features have found that they don’t work properly all of the time. But Teoh said his study still found that they prevent or mitigate the severity of crashes, and their performance is improving.

The systems use cameras, radar or other sensors to check the roadway. Some just warn the driver of hazards, while more sophisticated emergency braking systems will actually brake the truck.

In the U.S., there are no requirements for either system, but automatic emergency braking with forward collision warning has been required by the European Union on all new large trucks since late 2013, the institute said.

The systems could prevent horrific crashes that happen when trucks don’t stop for slower or stopped traffic in freeway construction zones, Teoh said.

A crash with those circumstances happened in July 2019 in Indianapolis, killing a woman and her 18-month-old twin daughters. Prosecutors alleged that a semi driver was traveling 65 mph (105 kilometers per hour) when his rig hit a line of traffic in a construction zone. Authorities charged the driver with reckless homicide and said he didn’t start braking until the rig slammed into the first of several vehicles. Five other vehicles were hit and seven more people were injured."
